gameID,condition,stim_id,study_phase,trial_type,trialNum,response,rt,rt_done1,rt_done2,collection_name_0,collection_name_1,level_name_0,level_name_1,layout_0,layout_1
5302-7bdb783f-d075-40ef-88ba-f7163000e3c3,difficult,6790957296019241f9c4f6db,posttest,sokoban-compare,8,0,33758,15827.0,31672.0,Microban,Sokogen-990602-Levels,67,13,"['#####', '#   ##', '# #  #', '#@$*.##', '##  . #', ' # $# #', ' ##   #', '  #####']","['######', '#@   ##', '# .$* ##', '# #$.  #', '#      #', '########']"
6926-122c9717-00c2-48ce-8664-aa60fd4bcc45,difficult,6790957196019241f9c4f6c3,posttest,sokoban-compare,7,0,22768,10555.0,22150.0,Microban,Sokogen-990602-Levels,26,41,"[' #####', ' # @ #', ' #   #', '###$ #', '# ...#', '# $$ #', '###  #', '  ####']","['######', '#    #', '# ## ##', '# .$@.###', '## $$   #', ' #  #.  #', ' ########']"
6987-19a94b0d-8b10-4fd0-80fe-bdb2e5519ac9,difficult,6790957296019241f9c4f6eb,posttest,sokoban-compare,2,0,25176,11800.0,24083.0,Sokogen-990602-Levels,Sokogen-990602-Levels,18,35,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']"
0464-aae0a733-1ac6-4a9c-b3a3-e00c87067124,enjoyable,6790957196019241f9c4f6cb,posttest,sokoban-compare,5,1,27600,12848.0,25690.0,Microban,Microcosmos,17,28,"['#####', '# @ #', '#...#', '#$$$##', '#    #', '#    #', '######']","['     ####', '    ##  #', '   ## . #', '#### $  #', '# $ $.@##', '#  .  ##', '#######']"
0422-3d2e26b2-9a76-4eb3-8c1c-c14c1becf1fd,enjoyable,6790957196019241f9c4f6d3,posttest,sokoban-compare,4,0,24640,12058.0,23352.0,Microban,Sokogen-990602-Levels,26,40,"[' #####', ' # @ #', ' #   #', '###$ #', '# ...#', '# $$ #', '###  #', '  ####']","['######', '#    ###', '# @#$  #', '# *.$  #', '# . #  #', '########']"
7657-b3cbe756-aa02-445e-9eb9-8c90a19dae77,enjoyable,6790957396019241f9c4f71a,posttest,sokoban-compare,8,0,26315,13931.0,25395.0,Sokogen-990602-Levels,Dimitri-and-Yorick,17,37,"['#####', '#@  ###', '# $$$ #', '## ...#', '#   # #', '#     #', '#######']","['######', '# @$.#', '# $$.#', '#  #.#', '#    #', '######']"
1656-913b0968-c28e-4a2e-8737-14b1490ed06a,difficult,6790957296019241f9c4f6e0,posttest,sokoban-compare,3,0,49641,24221.0,47251.0,Sokogen-990602-Levels,Sokogen-990602-Levels,18,38,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","['#####', '#. .####', '#$$    #', '#@$#   #', '# .    #', '########']"
6310-a842e331-fe38-4c14-abea-ea969b8c5102,enjoyable,6790957396019241f9c4f700,posttest,sokoban-compare,6,1,30838,12874.0,25374.0,Microban,Sokogen-990602-Levels,67,18,"['#####', '#   ##', '# #  #', '#@$*.##', '##  . #', ' # $# #', ' ##   #', '  #####']","['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']"
7788-77f59dbf-40bb-4e82-950f-edded9543d4d,difficult,6790957196019241f9c4f6c4,posttest,sokoban-compare,3,1,25261,11561.0,24261.0,Microban,Sokogen-990602-Levels,26,46,"[' #####', ' # @ #', ' #   #', '###$ #', '# ...#', '# $$ #', '###  #', '  ####']","['#######', '##  ###', '## .$ #', '# $$  #', '# #. .#', '#@  ###', '#######']"
4729-f3e3b67e-3da4-4372-bbc9-f1371b718bf0,difficult,6790957496019241f9c4f739,posttest,sokoban-compare,2,1,35424,24364.0,34957.0,Sokogen-990602-Levels,Microban,18,104,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","['    #####', '#####   #', '#    $  #', '#  $#$#@#', '### #   #', '  # ... #', '  ###  ##', '    #  #', '    ####']"
0344-4f03bfaf-e409-4afe-88af-af09b39d978b,enjoyable,6790957296019241f9c4f6d7,posttest,sokoban-compare,7,1,67884,23726.0,41460.0,Sokogen-990602-Levels,Sokogen-990602-Levels,40,46,"['######', '#    ###', '# @#$  #', '# *.$  #', '# . #  #', '########']","['#######', '##  ###', '## .$ #', '# $$  #', '# #. .#', '#@  ###', '#######']"
0464-aae0a733-1ac6-4a9c-b3a3-e00c87067124,enjoyable,6790957196019241f9c4f6cb,posttest,sokoban-compare,6,1,27790,12646.0,25863.0,Microcosmos,Sokogen-990602-Levels,28,40,"['     ####', '    ##  #', '   ## . #', '#### $  #', '# $ $.@##', '#  .  ##', '#######']","['######', '#    ###', '# @#$  #', '# *.$  #', '# . #  #', '########']"
0422-3d2e26b2-9a76-4eb3-8c1c-c14c1becf1fd,enjoyable,6790957196019241f9c4f6d3,posttest,sokoban-compare,5,0,26255,12042.0,24802.0,Microban,Microban,26,43,"[' #####', ' # @ #', ' #   #', '###$ #', '# ...#', '# $$ #', '###  #', '  ####']","['     ####', '     # @#', '     #  #', '###### .#', '#   $  .#', '#  $$# .#', '#    ####', '###  #', '  ####']"
4729-f3e3b67e-3da4-4372-bbc9-f1371b718bf0,difficult,6790957496019241f9c4f739,posttest,sokoban-compare,3,1,23231,11353.0,21764.0,Sokogen-990602-Levels,Sokogen-990602-Levels,32,38,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","['#####', '#. .####', '#$$    #', '#@$#   #', '# .    #', '########']"
6310-a842e331-fe38-4c14-abea-ea969b8c5102,enjoyable,6790957396019241f9c4f700,posttest,sokoban-compare,7,0,24334,11940.0,23455.0,Microban,Sokogen-990602-Levels,67,34,"['#####', '#   ##', '# #  #', '#@$*.##', '##  . #', ' # $# #', ' ##   #', '  #####']","['########', '##@ ####', '##$$   #', '#  $ # #', '# # ...#', '#   ####', '########']"
7788-77f59dbf-40bb-4e82-950f-edded9543d4d,difficult,6790957196019241f9c4f6c4,posttest,sokoban-compare,4,1,25698,12520.0,24436.0,Sokogen-990602-Levels,Microcosmos,14,28,"['######', '#  . #', '# #. ##', '#  .  #', '# $$$ #', '#  # @#', '#######']","['     ####', '    ##  #', '   ## . #', '#### $  #', '# $ $.@##', '#  .  ##', '#######']"
0344-4f03bfaf-e409-4afe-88af-af09b39d978b,enjoyable,6790957296019241f9c4f6d7,posttest,sokoban-compare,8,1,24696,12247.0,23840.0,Sokogen-990602-Levels,Microcosmos,14,28,"['######', '#  . #', '# #. ##', '#  .  #', '# $$$ #', '#  # @#', '#######']","['     ####', '    ##  #', '   ## . #', '#### $  #', '# $ $.@##', '#  .  ##', '#######']"
1656-913b0968-c28e-4a2e-8737-14b1490ed06a,difficult,6790957296019241f9c4f6e0,posttest,sokoban-compare,4,1,32252,15526.0,30976.0,Microban,Sokogen-990602-Levels,67,35,"['#####', '#   ##', '# #  #', '#@$*.##', '##  . #', ' # $# #', ' ##   #', '  #####']","['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']"
