stim_id,gameID,condition,trialNum,rt,startTime,time_elapsed,steps,level_id,collection_id,layout,width,height,boxes,start_position.x,start_position.y,attempt_nsteps,attempt_nInputEvents
6790956f96019241f9c4f66b,9390-86c56e18-f87b-46d4-9a5e-f44e363d8f6c,difficult,2,25935,211315.19999998808,228039,"['u', 'l', 'd', 'u', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,12,12
6790956f96019241f9c4f66b,9390-86c56e18-f87b-46d4-9a5e-f44e363d8f6c,difficult,3,78081,237560.69999998808,306438,"['r', 'r', 'u', 'U', 'U', 'r', 'r', 'd', 'L', 'u', 'l', 'D', 'D', 'l', 'l', 'u', 'R']",5,tutorial,"['  #####', '  #.  #', '###   #', '# $*$ #', '#   ###', '#@ .#', '#####']",7,7,"[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 4, 'y': 3, 'state': '$'}]",1,5,17,17
6790956f96019241f9c4f66a,4874-8b3ae495-d2ac-48be-9f34-6a6c65fb844f,difficult,1,22885,361276.10000002384,377826,"['u', 'r', 'R', 'l', 'l', 'd', 'r', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,8,9
6790956f96019241f9c4f66a,4874-8b3ae495-d2ac-48be-9f34-6a6c65fb844f,difficult,2,10201,384471.90000009537,388332,"['u', 'l', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,10,10
6790956f96019241f9c4f66a,4874-8b3ae495-d2ac-48be-9f34-6a6c65fb844f,difficult,3,17025,394975.90000009537,405668,"['u', 'r', 'r', 'U', 'U', 'r', 'r', 'd', 'L', 'u', 'l', 'D', 'D', 'l', 'l', 'u', 'R']",5,tutorial,"['  #####', '  #.  #', '###   #', '# $*$ #', '#   ###', '#@ .#', '#####']",7,7,"[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 4, 'y': 3, 'state': '$'}]",1,5,17,17
6790956f96019241f9c4f66e,8548-f432b403-c1b9-4c23-b610-38229bfe78ab,difficult,1,126970,534046.8999999911,654970,"['u', 'r', 'R', 'l', 'd', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,6,7
6790956f96019241f9c4f66e,8548-f432b403-c1b9-4c23-b610-38229bfe78ab,difficult,2,39499,661330.0,694779,"['u', 'l', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,10,14
6790956f96019241f9c4f66e,8548-f432b403-c1b9-4c23-b610-38229bfe78ab,difficult,3,26939,701138.099999994,722023,"['u', 'r', 'r', 'U', 'U', 'r', 'r', 'd', 'L', 'u', 'l', 'D', 'D', 'l', 'l', 'u', 'R']",5,tutorial,"['  #####', '  #.  #', '###   #', '# $*$ #', '#   ###', '#@ .#', '#####']",7,7,"[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 4, 'y': 3, 'state': '$'}]",1,5,17,18
6790956f96019241f9c4f677,8941-a75295a1-0952-400a-98d3-689ad17d5fd6,enjoyable,1,13764,44977.300000190735,51744,"['r', 'R', 'l', 'u', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,5,5
6790956f96019241f9c4f66f,9875-77c31433-07e1-4aef-a4e5-043f15ecb034,difficult,1,27303,75595.09999999776,97323,"['u', 'r', 'R', 'l', 'd', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,6,6
6790956f96019241f9c4f677,8941-a75295a1-0952-400a-98d3-689ad17d5fd6,enjoyable,2,15573,59046.09999990463,67619,"['l', 'u', 'l', 'D', 'u', 'l', 'D', 'u', 'l', 'l', 'l', 'D', 'u', 'r', 'r', 'd', 'L']",4,tutorial,"['######', '#    #', '#*$ @#', '#. ###', '######']",6,5,"[{'x': 1, 'y': 2, 'state': '*'}, {'x': 2, 'y': 2, 'state': '$'}]",4,2,17,20
6790956f96019241f9c4f675,0808-1234c64f-ccf4-46a1-bc6f-6827478f2d8e,difficult,1,15467,69559.5,79845,"['r', 'R', 'l', 'u', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,5,5
6790956f96019241f9c4f677,8941-a75295a1-0952-400a-98d3-689ad17d5fd6,enjoyable,3,11428,74920.59999990463,79355,"['r', 'r', 'u', 'U', 'U', 'r', 'r', 'd', 'L', 'u', 'l', 'D', 'D', 'l', 'l', 'u', 'R']",5,tutorial,"['  #####', '  #.  #', '###   #', '# $*$ #', '#   ###', '#@ .#', '#####']",7,7,"[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 4, 'y': 3, 'state': '$'}]",1,5,17,17
6790956f96019241f9c4f676,0209-82f8d7b1-7d8c-421b-becd-e2fc43eb28b8,difficult,1,11692,87003.09999999404,95681,"['r', 'R', 'l', 'u', 'R']",3,tutorial,"['######', '#  $.#', '#@ $.#', '#    #', '######']",6,5,"[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 1, 'state': '$'}]",1,2,5,5
