gameID,condition,study_phase,stimuli_set,puzzle_id,elo,mElo,sdElo,eloMin,eloMax,mElo_rank
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,posttest,B,Sokogen 39,-86,-92.97,4.762329238910266,-101,-86,1
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,posttest,B,Sokogen 6,14,6.885,8.505416927882939,-7,21,6
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,pretest,C,Microba 17,92,92.635,4.731190036255063,85,100,7
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,pretest,C,Microba 26,-1,0.167,5.785895573512184,-13,13,5
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,pretest,C,Microba 43,-85,-92.866,4.897553473932653,-100,-85,2
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,pretest,C,Microco 28,-7,0.078,6.038905892989603,-13,13,4
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,pretest,C,Sokogen 14,86,86.619,4.649027043635327,79,93,6
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,pretest,C,Sokogen 40,94,92.853,4.86302786749572,86,100,8
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,pretest,C,Sokogen 41,-86,-93.122,4.732178093595969,-100,-86,1
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,pretest,C,Sokogen 46,-93,-86.364,4.562271179831196,-93,-79,3
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,posttest,B,Dimitri 37,87,92.987,4.5733736723284215,86,100,7
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,posttest,B,Microba 33,7,-0.199,6.136534531480775,-13,13,5
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,posttest,B,Microba 41,-99,-92.747,4.650657977062997,-100,-86,2
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,posttest,B,Microba 48,93,93.33,4.605682610896251,86,100,8
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,posttest,B,Sokogen 17,-80,-86.086,4.820356816651631,-93,-78,3
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,posttest,B,Sokogen 19,78,86,4.951011261602271,78,93,6
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,posttest,B,Sokogen 39,-93,-92.912,4.7462388038090335,-100,-86,1
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,posttest,B,Sokogen 6,7,-0.373,5.833172112744225,-13,13,4
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,pretest,A,Microba 104,-7,-7.324,8.43825978672316,-22,7,2
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,pretest,A,Microba 67,-1,0.167,10.61790237527404,-15,14,5
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,pretest,A,Sokogen 13,93,99.869,4.613580401827212,93,107,8
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,pretest,A,Sokogen 18,13,6.884,8.299483443288805,-7,22,7
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,pretest,A,Sokogen 32,-8,-0.55,10.784238489564265,-15,15,3
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,pretest,A,Sokogen 34,-100,-99.635,4.469871894669328,-107,-93,1
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,pretest,A,Sokogen 35,10,0.639,10.422154302268819,-14,15,6
8084-5dfe77ae-e04e-483d-9a16-a9192635e882,enjoyable,pretest,A,Sokogen 38,0,-0.05,5.976555799055108,-14,14,4
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,posttest,C,Microba 17,-94,-93.024,4.547318121937592,-100,-86,2
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,posttest,C,Microba 26,0,-6.769,8.393335873601584,-21,7,3
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,posttest,C,Microba 43,6,6.939,8.517971286335433,-7,22,6
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,posttest,C,Microco 28,-7,0.02,10.310766795535267,-14,14,4
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,posttest,C,Sokogen 14,1,0.317,5.906555544342076,-13,14,5
8193-3867fc50-92bf-4ac9-b5aa-f492690f8735,enjoyable,posttest,C,Sokogen 40,-100,-93.402,4.892272511863039,-101,-86,1
